stat,sample_name,diploid,triploid,tetraploid,assumed_ploidy,match,AB_plot,wrong
bootstrap,C23-A_1,92,8,NA,3,no,3,yes
bootstrap,C23-A_2,56,44,NA,3,no,3,yes
bootstrap,C23-A_3,72,28,NA,3,no,3,yes
bootstrap,C23-A_5,100,NA,NA,3,no,3,yes
bootstrap,C85-A_2B,100,NA,NA,3,no,3,yes
bootstrap,C85-A_3,79,21,NA,3,no,3,yes
bootstrap,C87-A_1,96,4,NA,3,no,3,yes
bootstrap,C88-A_2,83,17,NA,3,no,3,yes
bootstrap,L06-A_4,64,36,NA,3,no,3,yes
bootstrap,L16-A_1,NA,NA,100,3,no,messy,yes
bootstrap,L16-A_4,84,16,NA,3,no,3,yes
bootstrap,L17-A_2,89,11,NA,3,no,3,yes
bootstrap,L17-A_4,62,38,NA,3,no,3,yes
bootstrap,L41-A_1,57,43,NA,3,no,3,yes
bootstrap,S03-A_1,NA,NA,100,3,no,4,no
bootstrap,S03-A_2,NA,NA,100,3,no,4,no
bootstrap,S03-A_3,NA,NA,100,3,no,4,no
bootstrap,S03-A_4,NA,NA,100,3,no,4,no
bootstrap,C43-A_1,NA,NA,100,3,no,4,no
bootstrap,C43-A_2,NA,NA,100,3,no,4,no
bootstrap,C43-A_3,NA,NA,100,3,no,4,no
bootstrap,C43-A_4,NA,NA,100,3,no,messy,no
bootstrap,C43-A_5,NA,NA,100,3,no,4,no
bootstrap,SM-A_1,NA,NA,100,4,yes,,no
bootstrap,SM-A_2,1,NA,99,4,yes,,no
bootstrap,SM-A_3,5,NA,95,4,yes,,no
bootstrap,SM-A_4,NA,NA,100,4,yes,,no
bootstrap,SM-A_5,7,NA,93,4,yes,,no
bootstrap,B42-S_1,100,NA,NA,2,yes,,no
bootstrap,B42-S_2,100,NA,NA,2,yes,,no
bootstrap,B42-S_3,100,NA,NA,2,yes,,no
bootstrap,B46-S_1,100,NA,NA,2,yes,,no
bootstrap,B46-S_2,100,NA,NA,2,yes,,no
bootstrap,B46-S_3,100,NA,NA,2,yes,,no
bootstrap,B49-S_1,100,NA,NA,2,yes,,no
bootstrap,B49-S_2,100,NA,NA,2,yes,,no
bootstrap,B49-S_3,100,NA,NA,2,yes,,no
bootstrap,B53-S_1,100,NA,NA,2,yes,,no
bootstrap,B53-S_2,100,NA,NA,2,yes,,no
bootstrap,B53-S_3,100,NA,NA,2,yes,,no
bootstrap,B60-S_1,100,NA,NA,2,yes,,no
bootstrap,B60-S_2,100,NA,NA,2,yes,,no
bootstrap,B60-S_3,100,NA,NA,2,yes,,no
bootstrap,C23-A_4,NA,100,NA,3,yes,,no
bootstrap,C27-A_1,NA,100,NA,3,yes,,no
bootstrap,C27-A_2,NA,100,NA,3,yes,,no
bootstrap,C27-A_3,NA,100,NA,3,yes,,no
bootstrap,C27-A_4,NA,100,NA,3,yes,,no
bootstrap,C27-A_5,NA,100,NA,3,yes,,no
bootstrap,C59-S_1,100,NA,NA,2,yes,,no
bootstrap,C59-S_2,100,NA,NA,2,yes,,no
bootstrap,C59-S_3,100,NA,NA,2,yes,,no
bootstrap,C85-A_1,NA,100,NA,3,yes,,no
bootstrap,C85-A_4,NA,100,NA,3,yes,,no
