"BICdif","winnerBIC","secondBIC","Distribution","Type","sample"
-1456716.44520548,"tetraploid","triploid","normal","fixed","C23-A_3-RG"
-1645.3503853706,"tetraploid","triploid","normal","fixed_2","C23-A_3-RG"
-2603.9596387352,"triploid","tetraploid","normal","fixed_3","C23-A_3-RG"
-20.7662741695967,"diploid","tetraploid","normal-uniform","fixed","C23-A_3-RG"
-41.5035570137006,"diploid","tetraploid","normal-uniform","fixed_2","C23-A_3-RG"
-1999.8721768137,"triploid","tetraploid","normal-uniform","fixed_3","C23-A_3-RG"
-2909.0280988058,"triploid","tetraploid","beta","fixed","C23-A_3-RG"
-1728.6987775612,"tetraploid","triploid","beta","fixed_2","C23-A_3-RG"
-777.101160074599,"triploid","diploid","beta","fixed_3","C23-A_3-RG"
-37.9625348029003,"diploid","tetraploid","beta-uniform","fixed","C23-A_3-RG"
-41.5701881100031,"diploid","tetraploid","beta-uniform","fixed_2","C23-A_3-RG"
-605.3976585454,"triploid","diploid","beta-uniform","fixed_3","C23-A_3-RG"
-2301.50543510201,"triploid","tetraploid","beta-binomial","fixed","C23-A_3-RG"
-934.464476792986,"tetraploid","triploid","beta-binomial","fixed_2","C23-A_3-RG"
-685.579219637992,"triploid","diploid","beta-binomial","fixed_3","C23-A_3-RG"
-2301.55795301101,"triploid","tetraploid","beta-binomial-uniform","fixed","C23-A_3-RG"
-933.062791859003,"tetraploid","triploid","beta-binomial-uniform","fixed_2","C23-A_3-RG"
-408.678053435986,"triploid","diploid","beta-binomial-uniform","fixed_3","C23-A_3-RG"
