"BICdif","winnerBIC","secondBIC","Distribution","Type","sample"
-1414398.85078699,"tetraploid","triploid","normal","fixed","C23-A_2-RG"
-1590.9777441927,"tetraploid","triploid","normal","fixed_2","C23-A_2-RG"
-2299.8705211716,"triploid","tetraploid","normal","fixed_3","C23-A_2-RG"
-20.6746773205996,"diploid","tetraploid","normal-uniform","fixed","C23-A_2-RG"
-41.3336554419984,"diploid","tetraploid","normal-uniform","fixed_2","C23-A_2-RG"
-1738.0843701187,"triploid","tetraploid","normal-uniform","fixed_3","C23-A_2-RG"
-2795.1214424474,"triploid","tetraploid","beta","fixed","C23-A_2-RG"
-1645.6198722198,"tetraploid","triploid","beta","fixed_2","C23-A_2-RG"
-863.4703608132,"triploid","diploid","beta","fixed_3","C23-A_2-RG"
-28.0182421786994,"diploid","tetraploid","beta-uniform","fixed","C23-A_2-RG"
-41.4321110163983,"diploid","tetraploid","beta-uniform","fixed_2","C23-A_2-RG"
-716.617906911903,"triploid","diploid","beta-uniform","fixed_3","C23-A_2-RG"
-2112.49637349398,"triploid","tetraploid","beta-binomial","fixed","C23-A_2-RG"
-761.447390165005,"tetraploid","triploid","beta-binomial","fixed_2","C23-A_2-RG"
-800.867037952994,"triploid","diploid","beta-binomial","fixed_3","C23-A_2-RG"
-2112.50818929001,"triploid","tetraploid","beta-binomial-uniform","fixed","C23-A_2-RG"
-759.641447328002,"tetraploid","triploid","beta-binomial-uniform","fixed_2","C23-A_2-RG"
-531.571865812002,"triploid","diploid","beta-binomial-uniform","fixed_3","C23-A_2-RG"
