"LL","type","mixture","distribution","BIC","sample"
-5372168.52104213,"fixed","diploid","normal",10744347.3716562,"C23-A_2-RG"
-1376874.51862753,"fixed","triploid","normal",2753769.69639897,"C23-A_2-RG"
-669669.928448067,"fixed","tetraploid","normal",1339370.84561198,"C23-A_2-RG"
-414203.393848337,"fixed","pentaploid","normal",828448.105984466,"C23-A_2-RG"
-262868.371620964,"fixed","hexaploid","normal",525788.391101668,"C23-A_2-RG"
7523.79071925977,"fixed_2","diploid","normal",-15026.9222946238,"C23-A_2-RG"
8990.78567935725,"fixed_2","triploid","normal",-17940.2530709231,"C23-A_2-RG"
9796.60412340142,"fixed_2","tetraploid","normal",-19531.2308151158,"C23-A_2-RG"
9803.23792348463,"fixed_2","pentaploid","normal",-19523.8392713865,"C23-A_2-RG"
10267.2979069579,"fixed_2","hexaploid","normal",-20431.3000944373,"C23-A_2-RG"
7523.79071925977,"fixed_3","diploid","normal",-15037.2518665717,"C23-A_2-RG"
8990.78374059077,"fixed_3","triploid","normal",-17960.9083372858,"C23-A_2-RG"
7846.01326597889,"fixed_3","tetraploid","normal",-15661.0378161142,"C23-A_2-RG"
6750.09942185076,"fixed_3","pentaploid","normal",-13458.8805559101,"C23-A_2-RG"
5840.52706867701,"fixed_3","hexaploid","normal",-11629.4062776148,"C23-A_2-RG"
10983.2641703407,"fixed","diploid","normal-uniform",-21945.8691967857,"C23-A_2-RG"
10950.5618166084,"fixed","triploid","normal-uniform",-21870.1349173732,"C23-A_2-RG"
10983.2564036283,"fixed","tetraploid","normal-uniform",-21925.1945194651,"C23-A_2-RG"
10951.9806493835,"fixed","pentaploid","normal-uniform",-21852.3134390278,"C23-A_2-RG"
11017.3044667882,"fixed","hexaploid","normal-uniform",-21972.6315018893,"C23-A_2-RG"
11114.8377660412,"fixed_2","diploid","normal-uniform",-22198.6868162389,"C23-A_2-RG"
11023.8856272966,"fixed_2","triploid","normal-uniform",-21996.1233948539,"C23-A_2-RG"
11114.8300822159,"fixed_2","tetraploid","normal-uniform",-22157.3531607969,"C23-A_2-RG"
15455.497330005,"fixed_2","pentaploid","normal-uniform",-30818.0285124794,"C23-A_2-RG"
11265.1906868219,"fixed_2","hexaploid","normal-uniform",-22416.7560822175,"C23-A_2-RG"
8297.72795569289,"fixed_3","diploid","normal-uniform",-16585.1263394379,"C23-A_2-RG"
9367.19106825751,"fixed_3","triploid","normal-uniform",-18713.7229926193,"C23-A_2-RG"
8503.31366917208,"fixed_3","tetraploid","normal-uniform",-16975.6386225006,"C23-A_2-RG"
7233.01319995408,"fixed_3","pentaploid","normal-uniform",-14424.7081121168,"C23-A_2-RG"
6420.28245807736,"fixed_3","hexaploid","normal-uniform",-12788.9170564155,"C23-A_2-RG"
-15573.622001836,"fixed","diploid","beta",31147.244003672,"C23-A_2-RG"
9346.36790088729,"fixed","triploid","beta",-18672.0766578789,"C23-A_2-RG"
7953.97196563752,"fixed","tetraploid","beta",-15876.9552154315,"C23-A_2-RG"
7545.34550539857,"fixed","pentaploid","beta",-15049.3727230058,"C23-A_2-RG"
9897.99540533286,"fixed","hexaploid","beta",-19744.3429509265,"C23-A_2-RG"
8909.46793450675,"fixed_2","diploid","beta",-17798.2767251178,"C23-A_2-RG"
9346.36790088728,"fixed_2","triploid","beta",-18651.4175139832,"C23-A_2-RG"
10179.507408945,"fixed_2","tetraploid","beta",-20297.037386203,"C23-A_2-RG"
10295.2874549127,"fixed_2","pentaploid","beta",-20507.9383342426,"C23-A_2-RG"
10559.6005093622,"fixed_2","hexaploid","beta",-21015.9052992458,"C23-A_2-RG"
8909.46793450675,"fixed_3","diploid","beta",-17808.6062970657,"C23-A_2-RG"
9346.36790088728,"fixed_3","triploid","beta",-18672.0766578789,"C23-A_2-RG"
8049.72064238516,"fixed_3","tetraploid","beta",-16068.4525689268,"C23-A_2-RG"
6774.18312718641,"fixed_3","pentaploid","beta",-13507.0479665814,"C23-A_2-RG"
5650.84425788674,"fixed_3","hexaploid","beta",-11250.0406560342,"C23-A_2-RG"
11072.5667601811,"fixed","diploid","beta-uniform",-22124.4743764665,"C23-A_2-RG"
10910.3298461628,"fixed","triploid","beta-uniform",-21789.670976482,"C23-A_2-RG"
11068.8872110396,"fixed","tetraploid","beta-uniform",-22096.4561342878,"C23-A_2-RG"
11211.7894493952,"fixed","pentaploid","beta-uniform",-22371.9310390512,"C23-A_2-RG"
11103.3972887388,"fixed","hexaploid","beta-uniform",-22144.8171457906,"C23-A_2-RG"
11152.5492726443,"fixed_2","diploid","beta-uniform",-22274.109829445,"C23-A_2-RG"
11014.111835564,"fixed_2","triploid","beta-uniform",-21976.5758113889,"C23-A_2-RG"
11152.4923610318,"fixed_2","tetraploid","beta-uniform",-22232.6777184286,"C23-A_2-RG"
20231.5792067294,"fixed_2","pentaploid","beta-uniform",-40370.1922659282,"C23-A_2-RG"
11267.7740446899,"fixed_2","hexaploid","beta-uniform",-22421.9227979535,"C23-A_2-RG"
9388.29492862773,"fixed_3","diploid","beta-uniform",-18766.2602853076,"C23-A_2-RG"
9751.76866805758,"fixed_3","triploid","beta-uniform",-19482.8781922195,"C23-A_2-RG"
8684.3056297307,"fixed_3","tetraploid","beta-uniform",-17337.6225436179,"C23-A_2-RG"
7282.36891890866,"fixed_3","pentaploid","beta-uniform",-14523.4195500259,"C23-A_2-RG"
6273.81307552393,"fixed_3","hexaploid","beta-uniform",-12495.9782913086,"C23-A_2-RG"
-98342.8755135374,"fixed","diploid","beta-binomial",196685.751027075,"C23-A_2-RG"
-93716.4689348142,"fixed","triploid","beta-binomial",187453.597013524,"C23-A_2-RG"
-94767.5523355873,"fixed","tetraploid","beta-binomial",189566.093387018,"C23-A_2-RG"
-93633.6337098928,"fixed","pentaploid","beta-binomial",187308.585707577,"C23-A_2-RG"
-93156.7211610834,"fixed","hexaploid","beta-binomial",186365.090181906,"C23-A_2-RG"
-93543.7647640412,"fixed_2","diploid","beta-binomial",187108.188671978,"C23-A_2-RG"
-93138.1537030344,"fixed_2","triploid","beta-binomial",186317.62569386,"C23-A_2-RG"
-92747.1004360039,"fixed_2","tetraploid","beta-binomial",185556.178303695,"C23-A_2-RG"
-93168.8002591226,"fixed_2","pentaploid","beta-binomial",186420.237093828,"C23-A_2-RG"
-92621.2080828134,"fixed_2","hexaploid","beta-binomial",185345.711885105,"C23-A_2-RG"
-93543.7647640412,"fixed_3","diploid","beta-binomial",187097.85910003,"C23-A_2-RG"
-93138.1664590905,"fixed_3","triploid","beta-binomial",186296.992062077,"C23-A_2-RG"
