"LL","type","mixture","distribution","BIC","sample"
-95024.002765051,"fixed_3","tetraploid","beta-binomial",190078.994245946,"C23-A_2-RG"
-96471.1515279127,"fixed_3","pentaploid","beta-binomial",192983.621343617,"C23-A_2-RG"
-97369.5961484597,"fixed_3","hexaploid","beta-binomial",194790.840156659,"C23-A_2-RG"
-96616.1620911077,"fixed","diploid","beta-binomial-uniform",193252.983326111,"C23-A_2-RG"
-93716.4927179718,"fixed","triploid","beta-binomial-uniform",187463.974151787,"C23-A_2-RG"
-94767.582026643,"fixed","tetraploid","beta-binomial-uniform",189576.482341077,"C23-A_2-RG"
-93633.5333982077,"fixed","pentaploid","beta-binomial-uniform",187318.714656155,"C23-A_2-RG"
-93162.6564688453,"fixed","hexaploid","beta-binomial-uniform",186387.290369378,"C23-A_2-RG"
-93543.7811082088,"fixed_2","diploid","beta-binomial-uniform",187118.550932261,"C23-A_2-RG"
-93138.232584245,"fixed_2","triploid","beta-binomial-uniform",186328.113028229,"C23-A_2-RG"
-92748.0822886331,"fixed_2","tetraploid","beta-binomial-uniform",185568.471580901,"C23-A_2-RG"
-93175.9506163815,"fixed_2","pentaploid","beta-binomial-uniform",186444.867380294,"C23-A_2-RG"
-92634.766962357,"fixed_2","hexaploid","beta-binomial-uniform",185383.15921614,"C23-A_2-RG"
-94082.6094125165,"fixed_3","diploid","beta-binomial-uniform",188175.548396981,"C23-A_2-RG"
-93811.6586936368,"fixed_3","triploid","beta-binomial-uniform",187643.976531169,"C23-A_2-RG"
-95334.5161854307,"fixed_3","tetraploid","beta-binomial-uniform",190700.021086705,"C23-A_2-RG"
-96962.3529533001,"fixed_3","pentaploid","beta-binomial-uniform",193966.024194392,"C23-A_2-RG"
359083.514276758,"fixed_3","hexaploid","beta-binomial-uniform",-718115.380693777,"C23-A_2-RG"
