"LL","type","mixture","distribution","BIC","sample"
-101073.528712221,"fixed","triploid","beta-binomial",202167.805781334,"C23-A_3-RG"
-102219.094340549,"fixed","tetraploid","beta-binomial",204469.311216436,"C23-A_3-RG"
-101097.610251545,"fixed","pentaploid","beta-binomial",202236.717216873,"C23-A_3-RG"
-100473.379348356,"fixed","hexaploid","beta-binomial",200998.629588939,"C23-A_3-RG"
-100917.930493743,"fixed_2","diploid","beta-binomial",201856.609344377,"C23-A_3-RG"
-100569.951690678,"fixed_2","triploid","beta-binomial",201181.400095138,"C23-A_3-RG"
-100092.345273836,"fixed_2","tetraploid","beta-binomial",200246.935618345,"C23-A_3-RG"
100751.203105771,"fixed_2","pentaploid","beta-binomial",-201419.412783978,"C23-A_3-RG"
-99932.5986111708,"fixed_2","hexaploid","beta-binomial",199968.939006797,"C23-A_3-RG"
-100917.930493743,"fixed_3","diploid","beta-binomial",201846.235165931,"C23-A_3-RG"
-100569.953794701,"fixed_3","triploid","beta-binomial",201160.655946293,"C23-A_3-RG"
-102567.566544212,"fixed_3","tetraploid","beta-binomial",205166.255623761,"C23-A_3-RG"
-104058.041402952,"fixed_3","pentaploid","beta-binomial",208157.579519686,"C23-A_3-RG"
-104950.557862063,"fixed_3","hexaploid","beta-binomial",209952.986616353,"C23-A_3-RG"
-104312.959842056,"fixed","diploid","beta-binomial-uniform",208646.668041003,"C23-A_3-RG"
-101073.564196154,"fixed","triploid","beta-binomial-uniform",202178.250927644,"C23-A_3-RG"
-102219.156083437,"fixed","tetraploid","beta-binomial-uniform",204479.808880655,"C23-A_3-RG"
-101097.63078749,"fixed","pentaploid","beta-binomial-uniform",202247.132467208,"C23-A_3-RG"
-100477.512512781,"fixed","hexaploid","beta-binomial-uniform",201017.270096236,"C23-A_3-RG"
-100917.947011225,"fixed_2","diploid","beta-binomial-uniform",201867.016557787,"C23-A_3-RG"
-100569.985604025,"fixed_2","triploid","beta-binomial-uniform",201191.842100279,"C23-A_3-RG"
-100093.08002965,"fixed_2","tetraploid","beta-binomial-uniform",200258.77930842,"C23-A_3-RG"
-100127.759055938,"fixed_2","pentaploid","beta-binomial-uniform",200348.885717887,"C23-A_3-RG"
-100061.75453616,"fixed_2","hexaploid","beta-binomial-uniform",200237.625035221,"C23-A_3-RG"
-101488.731898519,"fixed_3","diploid","beta-binomial-uniform",202987.837975484,"C23-A_3-RG"
-101279.205782579,"fixed_3","triploid","beta-binomial-uniform",202579.159922048,"C23-A_3-RG"
-102896.052794736,"fixed_3","tetraploid","beta-binomial-uniform",205823.228124808,"C23-A_3-RG"
-104576.793261263,"fixed_3","pentaploid","beta-binomial-uniform",209195.083236309,"C23-A_3-RG"
-105403.177754143,"fixed_3","hexaploid","beta-binomial-uniform",210858.226400513,"C23-A_3-RG"
