"LL","type","mixture","distribution","BIC","sample"
-6041986.34255627,"fixed","diploid","normal",12083983.076198,"C23-A_1-RG"
-1486781.66721818,"fixed","triploid","normal",2973584.11660735,"C23-A_1-RG"
-707947.699147368,"fixed","tetraploid","normal",1415926.57155121,"C23-A_1-RG"
-432500.360656055,"fixed","pentaploid","normal",865042.285654072,"C23-A_1-RG"
-287091.113159422,"fixed","hexaploid","normal",574234.181746294,"C23-A_1-RG"
7107.69309858144,"fixed_2","diploid","normal",-14194.6040261825,"C23-A_1-RG"
9209.77689581331,"fixed_2","triploid","normal",-18377.9894496659,"C23-A_1-RG"
10026.2697298579,"fixed_2","tetraploid","normal",-19990.1929467746,"C23-A_1-RG"
9812.85110993947,"fixed_2","pentaploid","normal",-19542.5735359575,"C23-A_1-RG"
10552.2866804501,"fixed_2","hexaploid","normal",-21000.6625059983,"C23-A_1-RG"
7107.69309858144,"fixed_3","diploid","normal",-14204.9951116727,"C23-A_1-RG"
9209.72258778156,"fixed_3","triploid","normal",-18398.6630045828,"C23-A_1-RG"
8402.29710123435,"fixed_3","tetraploid","normal",-16773.4209459981,"C23-A_1-RG"
7313.47479959026,"fixed_3","pentaploid","normal",-14585.3852572198,"C23-A_1-RG"
6210.02490727244,"fixed_3","hexaploid","normal",-12368.094387094,"C23-A_1-RG"
11671.9897673187,"fixed","diploid","normal-uniform",-23323.1973636571,"C23-A_1-RG"
11625.7632719095,"fixed","triploid","normal-uniform",-23220.3532873485,"C23-A_1-RG"
11671.9769105494,"fixed","tetraploid","normal-uniform",-23302.3894791381,"C23-A_1-RG"
11638.8708193177,"fixed","pentaploid","normal-uniform",-23225.7862111845,"C23-A_1-RG"
11685.3239072116,"fixed","hexaploid","normal-uniform",-23308.3013014822,"C23-A_1-RG"
11669.5250551187,"fixed_2","diploid","normal-uniform",-23307.8768537669,"C23-A_1-RG"
11688.0058288509,"fixed_2","triploid","normal-uniform",-23324.0562302508,"C23-A_1-RG"
183353.784919363,"fixed_2","tetraploid","normal-uniform",-366634.832240294,"C23-A_1-RG"
75238.513036869,"fixed_2","pentaploid","normal-uniform",-150383.506304326,"C23-A_1-RG"
11763.8805678327,"fixed_2","hexaploid","normal-uniform",-23413.4591952734,"C23-A_1-RG"
8004.86918003224,"fixed_3","diploid","normal-uniform",-15999.3472745743,"C23-A_1-RG"
9663.53609547283,"fixed_3","triploid","normal-uniform",-19306.2900199653,"C23-A_1-RG"
9111.80724336336,"fixed_3","tetraploid","normal-uniform",-18192.4412302562,"C23-A_1-RG"
7826.58424277305,"fixed_3","pentaploid","normal-uniform",-15611.6041435854,"C23-A_1-RG"
6823.02263909561,"fixed_3","hexaploid","normal-uniform",-13594.0898507403,"C23-A_1-RG"
-20290.3134698264,"fixed","diploid","beta",40580.6269396528,"C23-A_1-RG"
9678.12198545657,"fixed","triploid","beta",-19335.4617999328,"C23-A_1-RG"
8093.87561483723,"fixed","tetraploid","beta",-16156.5779732039,"C23-A_1-RG"
7243.90221612447,"fixed","pentaploid","beta",-14446.2400902882,"C23-A_1-RG"
9999.30585996922,"fixed","hexaploid","beta",-19946.6562924875,"C23-A_1-RG"
8614.63261983775,"fixed_2","diploid","beta",-17208.4830686951,"C23-A_1-RG"
9678.12198545656,"fixed_2","triploid","beta",-19314.6796289524,"C23-A_1-RG"
10444.3381606154,"fixed_2","tetraploid","beta",-20826.3298082897,"C23-A_1-RG"
10372.0346338503,"fixed_2","pentaploid","beta",-20660.9405837791,"C23-A_1-RG"
10942.1371695305,"fixed_2","hexaploid","beta",-21780.3634841591,"C23-A_1-RG"
8614.63261983775,"fixed_3","diploid","beta",-17218.8741541853,"C23-A_1-RG"
9678.12198545656,"fixed_3","triploid","beta",-19335.4617999328,"C23-A_1-RG"
8701.15949940262,"fixed_3","tetraploid","beta",-17371.1457423347,"C23-A_1-RG"
7385.05392081657,"fixed_3","pentaploid","beta",-14728.5434996724,"C23-A_1-RG"
6027.42727743373,"fixed_3","hexaploid","beta",-12002.8991274166,"C23-A_1-RG"
11520.5480919168,"fixed","diploid","beta-uniform",-23020.3140128532,"C23-A_1-RG"
11048.0970542018,"fixed","triploid","beta-uniform",-22065.020851933,"C23-A_1-RG"
11551.1277828689,"fixed","tetraploid","beta-uniform",-23060.691223777,"C23-A_1-RG"
11720.898685238,"fixed","pentaploid","beta-uniform",-23389.841943025,"C23-A_1-RG"
11660.8143509189,"fixed","hexaploid","beta-uniform",-23259.2821888966,"C23-A_1-RG"
11680.770405788,"fixed_2","diploid","beta-uniform",-23330.3675551055,"C23-A_1-RG"
11679.8192776058,"fixed_2","triploid","beta-uniform",-23307.6831277608,"C23-A_1-RG"
11687.10745806,"fixed_2","tetraploid","beta-uniform",-23301.4773176888,"C23-A_1-RG"
11731.7262548854,"fixed_2","pentaploid","beta-uniform",-23369.9327403592,"C23-A_1-RG"
11767.0582159694,"fixed_2","hexaploid","beta-uniform",-23419.8144915467,"C23-A_1-RG"
9320.66579056233,"fixed_3","diploid","beta-uniform",-18630.9404956345,"C23-A_1-RG"
10178.2417124776,"fixed_3","triploid","beta-uniform",-20335.7012539748,"C23-A_1-RG"
9372.05477890983,"fixed_3","tetraploid","beta-uniform",-18712.9363013491,"C23-A_1-RG"
7915.0074826434,"fixed_3","pentaploid","beta-uniform",-15788.4506233261,"C23-A_1-RG"
6684.87927428249,"fixed_3","hexaploid","beta-uniform",-13317.8031211141,"C23-A_1-RG"
-102547.95347381,"fixed","diploid","beta-binomial",205095.906947619,"C23-A_1-RG"
-96918.421354022,"fixed","triploid","beta-binomial",193857.624879024,"C23-A_1-RG"
-98413.836136505,"fixed","tetraploid","beta-binomial",196858.845529481,"C23-A_1-RG"
-97399.1236061079,"fixed","pentaploid","beta-binomial",194839.811554177,"C23-A_1-RG"
-96600.4646088365,"fixed","hexaploid","beta-binomial",193252.884645124,"C23-A_1-RG"
-97179.4836584594,"fixed_2","diploid","beta-binomial",194379.749487899,"C23-A_1-RG"
-96229.0744094302,"fixed_2","triploid","beta-binomial",192499.713160821,"C23-A_1-RG"
-96126.8891296652,"fixed_2","tetraploid","beta-binomial",192316.124772271,"C23-A_1-RG"
-96735.0389337763,"fixed_2","pentaploid","beta-binomial",193553.206551474,"C23-A_1-RG"
-95965.0238219766,"fixed_2","hexaploid","beta-binomial",192033.958498855,"C23-A_1-RG"
-97179.4836584594,"fixed_3","diploid","beta-binomial",194369.358402409,"C23-A_1-RG"
-96229.2903051054,"fixed_3","triploid","beta-binomial",192479.362781191,"C23-A_1-RG"
-98004.123147166,"fixed_3","tetraploid","beta-binomial",196039.419550803,"C23-A_1-RG"
-99480.6834947086,"fixed_3","pentaploid","beta-binomial",199002.931331378,"C23-A_1-RG"
190192.74363852,"fixed_3","hexaploid","beta-binomial",-380333.531849589,"C23-A_1-RG"
-100509.59642262,"fixed","diploid","beta-binomial-uniform",201039.975016221,"C23-A_1-RG"
-96918.4588222179,"fixed","triploid","beta-binomial-uniform",193868.090900906,"C23-A_1-RG"
-98413.8802026436,"fixed","tetraploid","beta-binomial-uniform",196869.324747248,"C23-A_1-RG"
-97399.1766667571,"fixed","pentaploid","beta-binomial-uniform",194850.308760965,"C23-A_1-RG"
-96606.9238103341,"fixed","hexaploid","beta-binomial-uniform",193276.194133609,"C23-A_1-RG"
-97179.4971763296,"fixed_2","diploid","beta-binomial-uniform",194390.16760913,"C23-A_1-RG"
-96229.09953753,"fixed_2","triploid","beta-binomial-uniform",192510.154502511,"C23-A_1-RG"
-96083.212627143,"fixed_2","tetraploid","beta-binomial-uniform",192239.162852717,"C23-A_1-RG"
-96737.1937519981,"fixed_2","pentaploid","beta-binomial-uniform",193567.907273408,"C23-A_1-RG"
-96019.7866865594,"fixed_2","hexaploid","beta-binomial-uniform",192153.875313511,"C23-A_1-RG"
-97709.6650846896,"fixed_3","diploid","beta-binomial-uniform",195429.721254869,"C23-A_1-RG"
-96914.5197515814,"fixed_3","triploid","beta-binomial-uniform",193849.821674143,"C23-A_1-RG"
-98325.0363090458,"fixed_3","tetraploid","beta-binomial-uniform",196681.245874562,"C23-A_1-RG"
-100002.984732928,"fixed_3","pentaploid","beta-binomial-uniform",200047.533807816,"C23-A_1-RG"
336323.185547709,"fixed_3","hexaploid","beta-binomial-uniform",-672594.415667967,"C23-A_1-RG"
